# NPC=-507372189
kjell_*|kjell_cutscene,kjell_sword,kjell_guitar
grand_exchange:add_*|grand_exchange:add_100,grand_exchange:add_all,grand_exchange:add_1,grand_exchange:add_10,grand_exchange:add_x
toplevel*:friends_list|toplevel_full:friends_list,toplevel:friends_list
summoning_trade_in:*_trade_in|summoning_trade_in:scroll_trade_in,summoning_trade_in:pouch_trade_in
tanner:*|tanner:snake_hide,tanner:green_dragonhide,tanner:black_dragonhide,tanner:cowhide_1,tanner:snake_hide_swamp,tanner:red_dragonhide,tanner:cowhide,tanner:blue_dragonhide
toplevel*:notes|toplevel:notes,toplevel_full:notes
*_spellbook:*|ancient_spellbook:annakarl_teleport,ancient_spellbook:defensive_cast,dungeoneering_spellbook:create_gatestone,dungeoneering_spellbook:water_bolt,dungeoneering_spellbook:defensive_cast,ancient_spellbook:blood_blitz,modern_spellbook:fire_strike,ancient_spellbook:ice_blitz,lunar_spellbook:stat_restore_pot_share,dungeoneering_spellbook:fire_bolt,dungeoneering_spellbook:filter_teleport,lunar_spellbook:ice_plateau_teleport,dungeoneering_spellbook:fire_blast,modern_spellbook:bones_to_peaches,modern_spellbook:lumbridge_teleport,dungeoneering_spellbook:earth_blast,lunar_spellbook:energy_transfer,lunar_spellbook:catherby_teleport,lunar_spellbook:fertile_soil,lunar_spellbook:cure_plant,modern_spellbook:filter_skill,modern_spellbook:ardougne_teleport,ancient_spellbook:shadow_blitz,modern_spellbook:filter_combat,modern_spellbook:teleport_to_house,modern_spellbook:mobilising_armies_teleport,dungeoneering_spellbook:water_blast,dungeoneering_spellbook:vengeance_other,modern_spellbook:fire_bolt,dungeoneering_spellbook:curse,lunar_spellbook:cure_other,modern_spellbook:superheat_item,modern_spellbook:wind_rush,dungeoneering_spellbook:earth_wave,ancient_spellbook:shadow_barrage,lunar_spellbook:filter_combat,dungeoneering_spellbook:humidify,modern_spellbook:water_strike,ancient_spellbook:paddewwa_teleport,modern_spellbook:watchtower_teleport,lunar_spellbook:tele_group_khazard,lunar_spellbook:moonclan_teleport,modern_spellbook:defensive_cast,lunar_spellbook:sort_teleport,modern_spellbook:water_blast,ancient_spellbook:blood_rush,modern_spellbook:filter_misc,modern_spellbook:enchant_crossbow_bolt,lunar_spellbook:vengeance,lunar_spellbook:bake_pie,lunar_spellbook:npc_contact,lunar_spellbook:tele_group_barbarian,ancient_spellbook:kharyrll_teleport,modern_spellbook:sort_teleport,dungeoneering_spellbook:enfeeble,lunar_spellbook:boost_potion_share,modern_spellbook:fire_surge,modern_spellbook:camelot_teleport,ancient_spellbook:lassar_teleport,lunar_spellbook:humidify,lunar_spellbook:khazard_teleport,ancient_spellbook:miasmic_barrage,modern_spellbook:saradomin_strike,ancient_spellbook:sort_level,dungeoneering_spellbook:fire_surge,ancient_spellbook:ghorrock_teleport,lunar_spellbook:lunar_home_teleport,modern_spellbook:stun,modern_spellbook:earth_blast,modern_spellbook:bind,dungeoneering_spellbook:earth_surge,modern_spellbook:wind_surge,lunar_spellbook:sort_combat,lunar_spellbook:fishing_guild_teleport,modern_spellbook:teleport_block,lunar_spellbook:filter_teleport,modern_spellbook:earth_bolt,ancient_spellbook:miasmic_blitz,dungeoneering_spellbook:water_surge,modern_spellbook:telekinetic_grab,dungeoneering_spellbook:sort_teleport,lunar_spellbook:tele_group_catherby,lunar_spellbook:cure_me,dungeoneering_spellbook:wind_surge,ancient_spellbook:senntisten_teleport,lunar_spellbook:superglass_make,dungeoneering_spellbook:filter_combat,dungeoneering_spellbook:water_strike,dungeoneering_spellbook:wind_blast,lunar_spellbook:magic_imbue,ancient_spellbook:shadow_burst,dungeoneering_spellbook:vengeance,ancient_spellbook:smoke_burst,ancient_spellbook:smoke_barrage,dungeoneering_spellbook:wind_strike,dungeoneering_spellbook:gatestone_teleport,modern_spellbook:wind_blast,ancient_spellbook:blood_barrage,modern_spellbook:charge,dungeoneering_spellbook:bind,dungeoneering_spellbook:vulnerability,modern_spellbook:confuse,ancient_spellbook:ice_burst,lunar_spellbook:tele_group_fishing_guild,dungeoneering_spellbook:earth_bolt,dungeoneering_spellbook:earth_strike,modern_spellbook:filter_teleport,dungeoneering_spellbook:monster_examine,modern_spellbook:trollheim_teleport,ancient_spellbook:carrallanger_teleport,modern_spellbook:falador_teleport,modern_spellbook:earth_surge,lunar_spellbook:heal_other,lunar_spellbook:cure_group,ancient_spellbook:shadow_rush,ancient_spellbook:miasmic_rush,ancient_spellbook:filter_combat,lunar_spellbook:sort_level,modern_spellbook:snare,ancient_spellbook:smoke_blitz,modern_spellbook:lumbridge_home_teleport,lunar_spellbook:filter_misc,ancient_spellbook:miasmic_burst,modern_spellbook:curse,lunar_spellbook:hunter_kit,lunar_spellbook:string_jewellery,modern_spellbook:earth_wave,modern_spellbook:entangle,modern_spellbook:wind_wave,modern_spellbook:wind_strike,dungeoneering_spellbook:group_gatestone_teleport,modern_spellbook:claws_of_guthix,dungeoneering_spellbook:entangle,modern_spellbook:flames_of_zamorak,lunar_spellbook:dream,lunar_spellbook:barbarian_teleport,dungeoneering_spellbook:cure_group,lunar_spellbook:tele_group_moonclan,dungeoneering_spellbook:sort_level,modern_spellbook:crumble_undead,ancient_spellbook:smoke_rush,dungeoneering_spellbook:wind_wave,modern_spellbook:water_surge,ancient_spellbook:sort_teleport,lunar_spellbook:stat_spy,lunar_spellbook:plank_make,dungeoneering_spellbook:water_wave,lunar_spellbook:vengeance_other,modern_spellbook:bones_to_bananas,modern_spellbook:fire_blast,lunar_spellbook:defensive_cast,modern_spellbook:water_wave,dungeoneering_spellbook:fire_strike,ancient_spellbook:sort_combat,dungeoneering_spellbook:cure_other,lunar_spellbook:waterbirth_teleport,dungeoneering_spellbook:weaken,lunar_spellbook:monster_examine,modern_spellbook:earth_strike,modern_spellbook:varrock_teleport,ancient_spellbook:edgeville_home_teleport,dungeoneering_spellbook:confuse,dungeoneering_spellbook:filter_misc,dungeoneering_spellbook:snare,ancient_spellbook:ice_rush,dungeoneering_spellbook:filter_skill,ancient_spellbook:blood_burst,modern_spellbook:sort_level,dungeoneering_spellbook:fire_wave,ancient_spellbook:dareeyak_teleport,dungeoneering_spellbook:stun,lunar_spellbook:heal_group,modern_spellbook:wind_bolt,dungeoneering_spellbook:high_level_alchemy,dungeoneering_spellbook:sort_combat,modern_spellbook:sort_combat,dungeoneering_spellbook:wind_bolt,lunar_spellbook:spellbook_swap,modern_spellbook:weaken,modern_spellbook:vulnerability,modern_spellbook:iban_blast,modern_spellbook:fire_wave,dungeoneering_spellbook:low_level_alchemy,ancient_spellbook:ice_barrage,modern_spellbook:water_bolt,lunar_spellbook:tele_group_waterbirth,ancient_spellbook:filter_teleport,modern_spellbook:magic_dart,modern_spellbook:enfeeble,dungeoneering_spellbook:bones_to_bananas,lunar_spellbook:ourania_teleport
character_creation:style_*|character_creation:style_10,character_creation:style_12,character_creation:style_5,character_creation:style_1,character_creation:style_2,character_creation:style_6,character_creation:style_17,character_creation:style_16,character_creation:style_13,character_creation:style_9,character_creation:style_19,character_creation:style_8,character_creation:style_14,character_creation:style_4,character_creation:style_3,character_creation:style_15,character_creation:style_18,character_creation:style_7,character_creation:style_0,character_creation:style_11
toplevel*:ignore_list|toplevel_full:ignore_list,toplevel:ignore_list
filter_buttons:*|filter_buttons:private,filter_buttons:public,filter_buttons:report,filter_buttons:all,filter_buttons:game,filter_buttons:assist,filter_buttons:clan,filter_buttons:trade
toplevel*:magic_spellbook|toplevel_full:magic_spellbook,toplevel:magic_spellbook
assist_xp:*|assist_xp:title,assist_xp:smithing,assist_xp:farming,assist_xp:fletching,assist_xp:magic,assist_xp:runecrafting,assist_xp:construction,assist_xp:cooking,assist_xp:description,assist_xp:herblore,assist_xp:crafting
*_spellbook:sort_*|lunar_spellbook:sort_teleport,modern_spellbook:sort_teleport,ancient_spellbook:sort_level,lunar_spellbook:sort_combat,dungeoneering_spellbook:sort_teleport,lunar_spellbook:sort_level,dungeoneering_spellbook:sort_level,ancient_spellbook:sort_teleport,ancient_spellbook:sort_combat,modern_spellbook:sort_level,dungeoneering_spellbook:sort_combat,modern_spellbook:sort_combat
toplevel*:xp_orb|toplevel:xp_orb,toplevel_full:xp_orb
canoe:a_*|canoe:a_log,canoe:a_waka,canoe:a_dugout,canoe:a_stable_dugout
warning_*:yes|warning_lumbridge_cellar:yes,warning_stronghold_of_security_ladders:yes,warning_watchtower_shaman_cave:yes,warning_mort_myre:yes,warning_chaos_tunnels_west:yes,warning_lumbridge_swamp_cave_rope:yes,warning_player_owned_houses:yes,warning_dorgesh_kaan_fairy_ring:yes,warning_kalphite_queen:yes,warning_contact_dungeon_ladder:yes,warning_living_rock_caverns:yes,warning_random_event_dropped_items:yes,warning_elid_genie_cave:yes,warning_mole_lair:yes,warning_dorgesh_kaan_city_exit:yes,warning_observatory_stairs:yes,warning_chaos_tunnels_central:yes,warning_chaos_tunnels_east:yes,warning_dorgesh_kaan_kalphite_tunnel:yes,warning_godwars_wilderness_agility_route:yes,warning_trollheim_wilderness_entrance:yes,warning_ranging_guild_tower:yes,warning_ham_mill_tunnel:yes,warning_dagannoth_kings_ladder:yes,warning_shantay_pass:yes
toplevel*:clan_chat|toplevel_full:clan_chat,toplevel:clan_chat
warning_*:dont_ask|warning_icy_path_area:dont_ask,warning_mort_myre:dont_ask,warning_chaos_tunnels_west:dont_ask,warning_elid_genie_cave:dont_ask,warning_shantay_pass:dont_ask,warning_stronghold_of_security_ladders:dont_ask,warning_dorgesh_kaan_city_exit:dont_ask,warning_player_owned_houses:dont_ask,warning_watchtower_shaman_cave:dont_ask,warning_lumbridge_swamp_cave_rope:dont_ask,warning_ranging_guild_tower:dont_ask,warning_lumbridge_cellar:dont_ask,warning_dorgesh_kaan_kalphite_tunnel:dont_ask,warning_death_plateau:dont_ask,warning_dagannoth_kings_ladder:dont_ask,warning_chaos_tunnels_central:dont_ask,warning_dorgesh_kaan_fairy_ring:dont_ask,warning_living_rock_caverns:dont_ask,warning_godwars_wilderness_agility_route:dont_ask,warning_trollheim_wilderness_entrance:dont_ask,warning_ham_mill_tunnel:dont_ask,warning_random_event_dropped_items:dont_ask,warning_contact_dungeon_ladder:dont_ask,warning_kalphite_queen:dont_ask,warning_mole_lair:dont_ask,warning_observatory_stairs:dont_ask,warning_chaos_tunnels_east:dont_ask
toplevel*:music_player|toplevel_full:music_player,toplevel:music_player
grand_exchange:buy_offer_*|grand_exchange:buy_offer_1,grand_exchange:buy_offer_0,grand_exchange:buy_offer_4,grand_exchange:buy_offer_5,grand_exchange:buy_offer_3,grand_exchange:buy_offer_2
collection_box:collection_box_*|collection_box:collection_box_1,collection_box:collection_box_5,collection_box:collection_box_3,collection_box:collection_box_0,collection_box:collection_box_2,collection_box:collection_box_4
slayer_rewards_assignment:block_*|slayer_rewards_assignment:block_text,slayer_rewards_assignment:block_points
energy_orb:*|energy_orb:run_background
skill_guide:*|skill_guide:section8,skill_guide:section2,skill_guide:section9,skill_guide:section1,skill_guide:section15,skill_guide:section11,skill_guide:section5,skill_guide:section10,skill_guide:section12,skill_guide:section6,skill_guide:section4,skill_guide:section14,skill_guide:section7,skill_guide:section13,skill_guide:section3
toplevel*:inventory|toplevel:inventory,toplevel_full:inventory
character_creation:type_*|character_creation:type_2,character_creation:type_1,character_creation:type_5,character_creation:type_4,character_creation:type_0,character_creation:type_3
toplevel*:logout|toplevel:logout,toplevel_full:logout
character_creation:part_*|character_creation:part_top,character_creation:part_beard,character_creation:part_skin,character_creation:part_legs,character_creation:part_shoes,character_creation:part_hair
worn_equipment:*_slot|worn_equipment:ammo_slot,worn_equipment:feet_slot,worn_equipment:legs_slot,worn_equipment:cape_slot,worn_equipment:amulet_slot,worn_equipment:weapon_slot,worn_equipment:shield_slot,worn_equipment:ring_slot,worn_equipment:chest_slot,worn_equipment:hands_slot,worn_equipment:hat_slot
skin_colour:colour_*|skin_colour:colour_4,skin_colour:colour_0,skin_colour:colour_6,skin_colour:colour_8,skin_colour:colour_9,skin_colour:colour_2,skin_colour:colour_3,skin_colour:colour_7,skin_colour:colour_5,skin_colour:colour_10,skin_colour:colour_1,skin_colour:colour_11
stats:*|stats:fishing,stats:magic,stats:agility,stats:slayer,stats:woodcutting,stats:strength,stats:smithing,stats:ranged,stats:firemaking,stats:fletching,stats:thieving,stats:construction,stats:constitution,stats:runecrafting,stats:summoning,stats:attack,stats:crafting,stats:herblore,stats:farming,stats:cooking,stats:prayer,stats:hunter,stats:defence,stats:mining,stats:dungeoneering
chat_setup:private_colour*|chat_setup:private_colour5,chat_setup:private_colour3,chat_setup:private_colour1,chat_setup:private_colour11,chat_setup:private_colour12,chat_setup:private_colour7,chat_setup:private_colour4,chat_setup:private_colour15,chat_setup:private_colour6,chat_setup:private_colour8,chat_setup:private_colour18,chat_setup:private_colour16,chat_setup:private_colour10,chat_setup:private_colour14,chat_setup:private_colour13,chat_setup:private_colour9,chat_setup:private_colour2,chat_setup:private_colour17
combat_styles:style*|combat_styles:style4,combat_styles:style2,combat_styles:style3,combat_styles:style1
exchange_wait_tutorial:continue*|exchange_wait_tutorial:continue,exchange_wait_tutorial:continue_arrow
slayer_rewards:buy_arrows_*|slayer_rewards:buy_arrows_points,slayer_rewards:buy_arrows_text,slayer_rewards:buy_arrows_icon
task_list:area_*|task_list:area_lumbridge_draynor,task_list:area_fremennik,task_list:area_karamja,task_list:area_varrock,task_list:area_dnd_activities,task_list:area_seers_village,task_list:area_ardougne,task_list:area_falador
warning_*:no|warning_mole_lair:no,warning_elid_genie_cave:no,warning_dorgesh_kaan_fairy_ring:no,warning_godwars_wilderness_agility_route:no,warning_player_owned_houses:no,warning_chaos_tunnels_east:no,warning_ham_mill_tunnel:no,warning_observatory_stairs:no,warning_lumbridge_swamp_cave_rope:no,warning_mort_myre:no,warning_living_rock_caverns:no,warning_dorgesh_kaan_city_exit:no,warning_trollheim_wilderness_entrance:no,warning_dagannoth_kings_ladder:no,warning_chaos_tunnels_central:no,warning_stronghold_of_security_ladders:no,warning_ranging_guild_tower:no,warning_kalphite_queen:no,warning_contact_dungeon_ladder:no,warning_dorgesh_kaan_kalphite_tunnel:no,warning_shantay_pass:no,warning_chaos_tunnels_west:no,warning_lumbridge_cellar:no,warning_random_event_dropped_items:no,warning_watchtower_shaman_cave:no
grand_exchange:sell_offer_*|grand_exchange:sell_offer_1,grand_exchange:sell_offer_2,grand_exchange:sell_offer_5,grand_exchange:sell_offer_0,grand_exchange:sell_offer_3,grand_exchange:sell_offer_4
*_spellbook:defensive_cast|ancient_spellbook:defensive_cast,dungeoneering_spellbook:defensive_cast,modern_spellbook:defensive_cast,lunar_spellbook:defensive_cast
slayer_rewards:buy_xp_*|slayer_rewards:buy_xp_text,slayer_rewards:buy_xp_points,slayer_rewards:buy_xp_icon
logout:*|logout:lobby,logout:login
*_spellbook:filter_*|dungeoneering_spellbook:filter_teleport,modern_spellbook:filter_skill,modern_spellbook:filter_combat,lunar_spellbook:filter_combat,modern_spellbook:filter_misc,lunar_spellbook:filter_teleport,dungeoneering_spellbook:filter_combat,modern_spellbook:filter_teleport,ancient_spellbook:filter_combat,lunar_spellbook:filter_misc,dungeoneering_spellbook:filter_misc,dungeoneering_spellbook:filter_skill,ancient_spellbook:filter_teleport
thessalias_makeovers:part_*|thessalias_makeovers:part_arms,thessalias_makeovers:part_wrists,thessalias_makeovers:part_top,thessalias_makeovers:part_legs
exchange_offers_tutorial:continue*|exchange_offers_tutorial:continue_arrow,exchange_offers_tutorial:continue
summoning_trade_in:*|summoning_trade_in:scroll_trade_in_text,summoning_trade_in:scroll_trade_in,summoning_trade_in:scroll_tab,summoning_trade_in:scroll_tab_sprite,summoning_trade_in:pouch_tab_scroll_bar,summoning_trade_in:pouch_tab_background,summoning_trade_in:pouch_trade_in_text,summoning_trade_in:scroll_tab_background,summoning_trade_in:pouch_trade_in,summoning_trade_in:scroll_tab_scroll_bar,summoning_trade_in:pouch_tab_sprite
travel_log:*|travel_log:dkr,travel_log:dkp,travel_log:bis,travel_log:re_sort_list,travel_log:cls,travel_log:dir,travel_log:bkp,travel_log:blp,travel_log:cjr,travel_log:cks,travel_log:ciq,travel_log:dlq,travel_log:aiq,travel_log:ajr,travel_log:aks,travel_log:bjr,travel_log:ckp,travel_log:bks,travel_log:biq,travel_log:dks,travel_log:clr,travel_log:ajs,travel_log:cip,travel_log:djr,travel_log:alq,travel_log:ajq,travel_log:bip,travel_log:djp,travel_log:dlr,travel_log:als,travel_log:clp,travel_log:dis,travel_log:bkr,travel_log:blr,travel_log:bkq,travel_log:air,travel_log:ckr,travel_log:alr,travel_log:akq
smithing:*|smithing:sword_all,smithing:dart_tip_x,smithing:plateskirt_all,smithing:chainbody_5,smithing:sq_shield_x,smithing:longsword_all,smithing:scimitar_name,smithing:battleaxe_5,smithing:longsword,smithing:2h_sword_all,smithing:dart_tip_name,smithing:mace_bar,smithing:kiteshield_5,smithing:spit_all,smithing:battleaxe_1,smithing:warhammer_1,smithing:grapple_tip_5,smithing:crossbow_limbs_name,smithing:2h_sword,smithing:hatchet_x,smithing:med_helm_name,smithing:plateskirt_1,smithing:chainbody_1,smithing:2h_sword_5,smithing:knife_x,smithing:platelegs,smithing:crossbow_limbs_1,smithing:lantern_bar,smithing:med_helm_x,smithing:knife_bar,smithing:bolts_unf_x,smithing:platelegs_bar,smithing:chainbody_bar,smithing:nails_x,smithing:kiteshield_bar,smithing:nails_1,smithing:grapple,smithing:limbs_bar,smithing:crossbow_bolt_name,smithing:sq_shield_name,smithing:title,smithing:grapple_tip_all,smithing:claws_bar,smithing:dagger_1,smithing:crossbow_limbs_5,smithing:crossbow_limbs_bar,smithing:bolts_unf,smithing:med_helm_bar,smithing:grapple_tip_name,smithing:studs,smithing:sword_x,smithing:claws_name,smithing:plateskirt_5,smithing:chainbody_name,smithing:hatchet,smithing:wire,smithing:hatchet_bar,smithing:mace_name,smithing:limbs_5,smithing:dagger_bar,smithing:battleaxe,smithing:crossbow_limbs,smithing:warhammer_5,smithing:studs_steel,smithing:hatchet_5,smithing:platebody_5,smithing:sq_shield_bar,smithing:dart_tip_bar,smithing:spit_1,smithing:sq_shield_1,smithing:spit_5,smithing:spit_name,smithing:med_helm,smithing:scimitar_all,smithing:nails_all,smithing:crossbows,smithing:full_helm_1,smithing:warhammer_x,smithing:grapple_tip_x,smithing:lantern_x,smithing:battleaxe_bar,smithing:full_helm_name,smithing:wire_5,smithing:mace_1,smithing:claws_5,smithing:pickaxe_1,smithing:kiteshield,smithing:platelegs_name,smithing:bolts_unf_5,smithing:claws_1,smithing:plateskirt_bar,smithing:warhammer_name,smithing:limbs_1,smithing:dagger_5,smithing:claws_x,smithing:knife_5,smithing:limbs_x,smithing:scimitar,smithing:battleaxe_all,smithing:pickaxe_x,smithing:wire_name,smithing:mace,smithing:crossbow_limbs_x,smithing:spit,smithing:claws_all,smithing:full_helm_x,smithing:knife_1,smithing:kiteshield_x,smithing:mace_5,smithing:kiteshield_1,smithing:wire_1,smithing:grapple_tip,smithing:grapple_tip_1,smithing:dart_tip_all,smithing:dart_tip,smithing:longsword_name,smithing:arrowtips_bar,smithing:arrowtips_all,smithing:spit_x,smithing:platebody_x,smithing:platelegs_all,smithing:chainbody_all,smithing:hatchet_all,smithing:2h_sword_name,smithing:pickaxe_name,smithing:kiteshield_all,smithing:sword,smithing:dagger_name,smithing:longsword_1,smithing:platelegs_5,smithing:mace_all,smithing:wire_x,smithing:sword_5,smithing:platebody_name,smithing:lantern_5,smithing:scimitar_5,smithing:full_helm,smithing:dagger,smithing:crossbow_bolt,smithing:nails,smithing:mace_x,smithing:plateskirt_name,smithing:platebody_bar,smithing:nails_bar,smithing:plateskirt,smithing:scimitar_bar,smithing:studs_5,smithing:pickaxes,smithing:sq_shield_all,smithing:sword_bar,smithing:platebody,smithing:spit_iron,smithing:lantern_all,smithing:bolts_unf_1,smithing:knife_name,smithing:warhammer,smithing:studs_all,smithing:limbs,smithing:sword_1,smithing:bolts_unf_all,smithing:full_helm_5,smithing:arrowtips_x,smithing:lantern_1,smithing:sq_shield,smithing:platelegs_1,smithing:longsword_x,smithing:arrowtips_1,smithing:scimitar_1,smithing:full_helm_bar,smithing:bullseye_lantern,smithing:battleaxe_x,smithing:pickaxe_5,smithing:platelegs_x,smithing:lantern_name,smithing:wire_bar,smithing:wire_bronze,smithing:dagger_x,smithing:arrowtips_name,smithing:dart_tip_5,smithing:dart_tip_1,smithing:platebody_1,smithing:pickaxe_bar,smithing:chainbody_x,smithing:grapple_tip_bar,smithing:kiteshield_name,smithing:studs_bar,smithing:sq_shield_5,smithing:wire_all,smithing:crossbow_bolt_all,smithing:hatchet_name,smithing:warhammer_all,smithing:med_helm_all,smithing:dagger_all,smithing:spit_bar,smithing:hatchet_1,smithing:med_helm_1,smithing:arrowtips_5,smithing:chainbody,smithing:scimitar_x,smithing:darts,smithing:battleaxe_name,smithing:crossbow_bolt_x,smithing:crossbow_bolt_5,smithing:pickaxe,smithing:studs_1,smithing:2h_sword_1,smithing:nails_5,smithing:claws,smithing:studs_x,smithing:crossbow_bolt_bar,smithing:2h_sword_x,smithing:arrowtips,smithing:claw,smithing:knife_all,smithing:full_helm_all,smithing:nails_name,smithing:crossbow_bolt_1,smithing:platebody_all,smithing:crossbow_limbs_all,smithing:knife,smithing:bolts_unf_bar,smithing:sword_name,smithing:med_helm_5,smithing:longsword_5,smithing:studs_name,smithing:plateskirt_x,smithing:limbs_all,smithing:bolts_unf_name,smithing:2h_sword_bar,smithing:lantern,smithing:pickaxe_all,smithing:limbs_name,smithing:warhammer_bar,smithing:longsword_bar
fairy_ring:clockwise_*|fairy_ring:clockwise_1,fairy_ring:clockwise_3,fairy_ring:clockwise_2
glider_map:*|glider_map:kar_hewo,glider_map:ta_quir_priw_to_kar_hewo,glider_map:lemanto_andra,glider_map:sindarpos,glider_map:lemantolly_undri,glider_map:ta_quir_priw_to_gandius,glider_map:lemantolly_undri_to_ta_quir_priw,glider_map:ta_quir_priw_to_crash_island,glider_map:ta_quir_priw_to_sindarpos,glider_map:gandius,glider_map:crash_island_to_ta_quir_priw,glider_map:sindarpos_to_ta_quir_priw,glider_map:ta_quir_priw_to_lemanto_andra,glider_map:ta_quir_priw,glider_map:gandius_to_ta_quir_priw,glider_map:kar_hewo_to_ta_quir_priw,glider_map:ta_quir_priw_to_lemantolly_undri
skill_stat_advance:*|skill_stat_advance:dungeoneering,skill_stat_advance:attack,skill_stat_advance:magic,skill_stat_advance:woodcutting,skill_stat_advance:runecrafting,skill_stat_advance:prayer,skill_stat_advance:strength,skill_stat_advance:constitution,skill_stat_advance:hunter,skill_stat_advance:construction,skill_stat_advance:smithing,skill_stat_advance:cooking,skill_stat_advance:fishing,skill_stat_advance:agility,skill_stat_advance:close,skill_stat_advance:ranged,skill_stat_advance:fletching,skill_stat_advance:summoning,skill_stat_advance:farming,skill_stat_advance:mining,skill_stat_advance:defence,skill_stat_advance:firemaking,skill_stat_advance:confirm,skill_stat_advance:herblore,skill_stat_advance:thieving,skill_stat_advance:slayer,skill_stat_advance:crafting
slayer_rewards:buy_runes_*|slayer_rewards:buy_runes_text,slayer_rewards:buy_runes_icon,slayer_rewards:buy_runes_points
toplevel*:world_map|toplevel:world_map,toplevel_full:world_map
task_system:hint_*|task_system:hint_2,task_system:hint_3,task_system:hint_1
slayer_rewards:buy_ring_*|slayer_rewards:buy_ring_text,slayer_rewards:buy_ring_icon,slayer_rewards:buy_ring_points
fairy_ring:anticlockwise_*|fairy_ring:anticlockwise_1,fairy_ring:anticlockwise_3,fairy_ring:anticlockwise_2
toplevel*:stats|toplevel:stats,toplevel_full:stats
exchange_confirm_tutorial:continue*|exchange_confirm_tutorial:continue,exchange_confirm_tutorial:continue_arrow
slayer_rewards:buy_bolts_*|slayer_rewards:buy_bolts_points,slayer_rewards:buy_bolts_icon,slayer_rewards:buy_bolts_text
*_spellbook:*_teleport|ancient_spellbook:annakarl_teleport,dungeoneering_spellbook:filter_teleport,lunar_spellbook:ice_plateau_teleport,modern_spellbook:lumbridge_teleport,lunar_spellbook:catherby_teleport,modern_spellbook:ardougne_teleport,modern_spellbook:mobilising_armies_teleport,ancient_spellbook:paddewwa_teleport,modern_spellbook:watchtower_teleport,lunar_spellbook:moonclan_teleport,lunar_spellbook:sort_teleport,ancient_spellbook:kharyrll_teleport,modern_spellbook:sort_teleport,modern_spellbook:camelot_teleport,ancient_spellbook:lassar_teleport,lunar_spellbook:khazard_teleport,ancient_spellbook:ghorrock_teleport,lunar_spellbook:lunar_home_teleport,lunar_spellbook:fishing_guild_teleport,lunar_spellbook:filter_teleport,dungeoneering_spellbook:sort_teleport,ancient_spellbook:senntisten_teleport,dungeoneering_spellbook:gatestone_teleport,modern_spellbook:filter_teleport,modern_spellbook:trollheim_teleport,ancient_spellbook:carrallanger_teleport,modern_spellbook:falador_teleport,modern_spellbook:lumbridge_home_teleport,dungeoneering_spellbook:group_gatestone_teleport,lunar_spellbook:barbarian_teleport,ancient_spellbook:sort_teleport,lunar_spellbook:waterbirth_teleport,modern_spellbook:varrock_teleport,ancient_spellbook:edgeville_home_teleport,ancient_spellbook:dareeyak_teleport,ancient_spellbook:filter_teleport,lunar_spellbook:ourania_teleport
exchange_buy_tutorial:continue*|exchange_buy_tutorial:continue_arrow,exchange_buy_tutorial:continue
silver_mould:*_button|silver_mould:sickle_mould_button,silver_mould:unholy_mould_button,silver_mould:key_mould_button,silver_mould:holy_mould_button,silver_mould:bolt_mould_button,silver_mould:chain_link_mould_button,silver_mould:conductor_mould_button,silver_mould:demonic_sigil_mould_button,silver_mould:rod_clay_mould_button,silver_mould:tiara_mould_button
grand_exchange:collect_slot_*|grand_exchange:collect_slot_0,grand_exchange:collect_slot_1
charter_ship_map:*|charter_ship_map:port_tyras,charter_ship_map:mos_le_harmless,charter_ship_map:catherby,charter_ship_map:close,charter_ship_map:oo_glog,charter_ship_map:shipyard,charter_ship_map:port_phasmatys,charter_ship_map:musa_point,charter_ship_map:port_sarim,charter_ship_map:port_khazard,charter_ship_map:brimhaven,charter_ship_map:crandor
doomsayer_warning_messages:*|doomsayer_warning_messages:mole_lair,doomsayer_warning_messages:lumbridge_cellar,doomsayer_warning_messages:stronghold_of_security_ladders,doomsayer_warning_messages:dagannoth_kings_ladder,doomsayer_warning_messages:corporeal_beast,doomsayer_warning_messages:wilderness_wall,doomsayer_warning_messages:shantay_pass,doomsayer_warning_messages:living_rock_caverns,doomsayer_warning_messages:lumbridge_swamp_cave_rope,doomsayer_warning_messages:trollheim_wilderness_entrance,doomsayer_warning_messages:bounty_hunter,doomsayer_warning_messages:godwars_wilderness_agility_route,doomsayer_warning_messages:random_event_dropped_items,doomsayer_warning_messages:clan_wars_ffa_safe,doomsayer_warning_messages:chaos_tunnels_west,doomsayer_warning_messages:elid_genie_cave,doomsayer_warning_messages:observatory_stairs,doomsayer_warning_messages:chaos_tunnels_east,doomsayer_warning_messages:watchtower_shaman_cave,doomsayer_warning_messages:chaos_tunnels_central,doomsayer_warning_messages:dorgesh_kaan_kalphite_tunnel,doomsayer_warning_messages:mort_myre,doomsayer_warning_messages:duel_arena,doomsayer_warning_messages:player_owned_houses,doomsayer_warning_messages:dorgesh_kaan_city_exit,doomsayer_warning_messages:death_plateau,doomsayer_warning_messages:pvp_worlds,doomsayer_warning_messages:icy_path_area,doomsayer_warning_messages:clan_wars_ffa_dangerous,doomsayer_warning_messages:contact_dungeon_ladder,doomsayer_warning_messages:ham_mill_tunnel,doomsayer_warning_messages:dorgesh_kaan_fairy_ring,doomsayer_warning_messages:ranging_guild_tower
toplevel*:worn_equipment|toplevel_full:worn_equipment,toplevel:worn_equipment
